date,tickets_sold,instagram_followers,reel_views,days_advertised,day_of_week,month,student_term_time,weather,rainfall,temperature
19/07/26,9,49,674,14,Sunday,July,Summer Break,Sunny,0mm,24C
23/07/26,11,57,898,18,Thursday,July,Summer Break,Cloudy,0mm,19C
28/07/26,18,73,1535,23,Tuesday,July,Summer Break,Sunny,0mm,25C
31/07/26,19,74,1569,26,Friday,July,Summer Break,Sunny,0mm,20C
06/08/26,25,76,1593,32,Thursday,August,Summer Break,Cloudy,1mm,15C
08/08/26,32,77,1603,34,Saturday,August,Summer Break,Sunny,0mm,20C
12/08/26,41,78,1642,38,Wednesday,August,Summer Break,Sunny,0mm,26C
17/08/26,53,81,1687,43,Monday,August,Summer Break,Cloudy,1mm,20C
21/08/26,98,91,1852,48,Friday,August,Summer Break,Sunny,0mm,21C
